name,link,sizeInMB
99848889.zip,https://drive.google.com/file/d/1NEcHvWOk8uueDOcZNvgBNrOvr1nKjZGN/view?usp=drivesdk,677.2978678
96254963.zip,https://drive.google.com/file/d/1NYrYZ0F_7DCf0ks7sd2621gFydoX_cvE/view?usp=drivesdk,679.3832102
77411181.zip,https://drive.google.com/file/d/1JB44LUXdEfkdQtGqbvy3roqA4tPkKYZc/view?usp=drivesdk,723.702322
66836068.zip,https://drive.google.com/file/d/1LI7cKDrjyOpbU60DLkdpPIIc3TsqNx8q/view?usp=drivesdk,742.7011757
91161972.zip,https://drive.google.com/file/d/1L78UstFoZ6Q7g-2cgPuihMe85fhe6gz3/view?usp=drivesdk,641.8654413
98340749.zip,https://drive.google.com/file/d/1MSgML6WOTmhK38bm82fFYDDH-kaG-eiB/view?usp=drivesdk,621.3763046
64024750.zip,https://drive.google.com/file/d/1NXi8oQ-J9nMF_s0K3uPxDKeMTXhUsR55/view?usp=drivesdk,725.0353756
64406000.zip,https://drive.google.com/file/d/1NncrL_nc8QtBh0MmavzhhE6zDxdJd_Q7/view?usp=drivesdk,717.5638294
84589080.zip,https://drive.google.com/file/d/1NhTesXPxtn0mAXJyErN-6HEHXAOl1KXb/view?usp=drivesdk,599.8663206
79526193.zip,https://drive.google.com/file/d/1LC0dzXM3ZWVun1b_6Yir8CaJabvrcPVg/view?usp=drivesdk,593.9845057
84109428.zip,https://drive.google.com/file/d/1Md9KxquGIX6VW_R8HEPuIWNm8aUdbzQG/view?usp=drivesdk,577.0241671
47631371.zip,https://drive.google.com/file/d/1NFvfS0QD7xNykZiNG_DPIn2kKIC1G9Ym/view?usp=drivesdk,794.8994398
77104076.zip,https://drive.google.com/file/d/1N2dxPTQCdOYRWz3xb1DFzgH88V8jG9ru/view?usp=drivesdk,593.5220079
70454270.zip,https://drive.google.com/file/d/1NlpfqdVT39Ua1TP-yxJvEpfGW44WE-D8/view?usp=drivesdk,605.3107624
66019205.zip,https://drive.google.com/file/d/1Nl1SLYW-mJSYkLjc6pDU1EB5-vpEMgAK/view?usp=drivesdk,573.5432167
